Aceleracion_X,Aceleracion_Y,Aceleracion_Z,Yaw,Pitch,Roll,Temperatura,Presion,Altura,Coordenada_X,Coordenada_Y
4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87,4.87
2.49,2.49,2.49,2.49,2.49,2.49,2.49,2.49,2.49,2.49,2.49
1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24,1.24
1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83
4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15,4.15
4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93
2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83,2.83
1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23,1.23
1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52
3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76,3.76
